sector,code,region,nondis,estab,employ,wage,bea.comp.st,bea.earn.st,bea.empl.st,gdp.comp.st,us.comp.gdp.ratio,us.comp.out.ratio,st.output,st.gdp.est,gdp,taxsub.est,taxsub.st,surplus.est,surplus.st,check,output,jobs.1000output.ratio,earn.output.ratio,comp.output.ratio,valueadded.output.ratio,taxsub.output.ratio,surplus.output.ratio,Code,st.total.dem,rpc
19,2123A0,34000,0,33,489,28985731,36163654.05,53352747.9,1832.451442,34171604.82,0.355900549,0.205167889,166554352,96014476.37,90944705.08,3014858.906,6001211.457,55562575.75,51514992.73,0,166554352,0.011002123,0.320332356,0.217128244,0.546036198,0.03603155,0.309298389,2123A0,350687912.5,0.872508427
20,213111,34000,0,16,54,3485528,4119234.144,4199408.612,202.3566009,3900379.516,0.467530732,0.305709668,12758443.48,8342509.374,5063578.27,130919.6145,712932.0793,2564941.906,226178.7913,0,12758443.48,0.015860603,0.329147409,0.322863377,0.396880566,0.055879236,0.017727773,213111,1487527630,0.008576946
21,21311A,34000,0,19,166,12599959,14890765.86,15180591.39,622.0591806,14099620.48,0.477125294,0.328144483,42967720.73,29551190.57,17936421.73,603622.2491,3287067.921,8775387.091,773821.2087,0,42967720.73,0.01447736,0.353302226,0.346557034,0.417439451,0.076500868,0.018009361,21311A,1498923560,0.028665718
22,221100,34000,0,171,7350,867376377,1191137291,1374291249,7860.326567,1217173495,0.260170981,0.150921268,8064956746,4678359947,5793198782,1454139745,1619974558,2831836829,2990717054,0,8064956746,0.000974627,0.170402805,0.147692955,0.718317403,0.200865871,0.370828654,221100,9830834447,0.820373569
23,221200,34000,0,73,3967,392210478,538608773.1,621427378.1,4242.437482,550381830.7,0.285108155,0.118242965,4654668704,1930431738,2390447704,438164225.2,488133894.5,1270747345,1342042634,0,4654668704,0.000911437,0.133506253,0.115713665,0.51355915,0.10486974,0.288321838,221200,4412638349,0.893569469
24,221300,34000,0,114,2279,197711302,271509936,313258372.5,2437.235952,277444674.3,0.3551534,0.238896814,1161357783,781196728.4,967353514.2,109413659.2,121891547.7,514380965.2,543240312.8,0,1161357783,0.002098609,0.269734596,0.233786642,0.832950473,0.104956069,0.467763097,221300,1833327514,0.827207725
24.1,230301,34000,0,2334.5234,14675.34068,1003935328,1270542528,2015229967,24239.66689,1183187508,0.611190401,0.354857059,3334265106,1935873838,1951351913,26339639.74,40867207.3,732388316.2,730003250.6,0,3334265106,0.007269868,0.604400041,0.381056241,0.58524198,0.012256736,0.218939775,230301,17136934254,0.194566021
24.2,230302,34000,0,1099.939699,6914.469055,463385332,586442925.6,930167492.9,11420.82015,546122564.6,0.659652695,0.347631681,1570980421,827894085.1,834513424.7,4460745.44,6921059.301,279563649.4,278653234,0,1570980421,0.007269868,0.592093625,0.373297412,0.53120549,0.004405567,0.17737537,230302,7748895713,0.202736039
24.3,233210,34000,0,742.5830713,4668.044688,335876883.1,425073062.1,674215899.3,7710.338772,395847542.3,0.671112699,0.37323384,1060588565,589837657.6,594553642.2,8331445.187,12926634.57,187233299.3,186623563.1,0,1060588565,0.007269868,0.635699763,0.400789784,0.560588396,0.012188171,0.175962262,233210,1340815054,0.791002877
24.4,233230,34000,0,568.2163823,3571.93635,389101428.9,492432031.3,781055151.3,5899.866254,458575305.6,0.862281513,0.565060589,811550681.3,531816232.6,536068313.1,3894301.575,6042194.627,69932215.55,69704477.19,0,811550681.3,0.007269868,0.962423136,0.606779148,0.660548165,0.007445246,0.08589048,233230,1190655070,0.681600156
24.5,233240,34000,0,1258.846836,7913.395167,551794898.4,698330724.4,1107634709,13070.77409,650317617.5,0.53953145,0.361701851,1797938320,1205337737,1214974888,4838374.684,7506969.083,554619349.7,552813199.3,0,1797938320,0.007269868,0.616058236,0.388406386,0.675760049,0.004175321,0.307470614,233240,2649501409,0.678594966
24.6,233262,34000,0,1488.740037,9358.555681,454107294.3,574700992.6,911543405.3,15457.78576,535187937.7,0.514646612,0.251701354,2126281517,1039913457,1048227975,12886597.94,19994171.31,495874400.5,494259556.4,0,2126281517,0.007269868,0.428703066,0.270284526,0.492986449,0.009403351,0.232452548,233262,2697115179,0.788353992
24.7,233293,34000,0,1195.959414,7518.070648,517265499.2,654631624.6,1038322794,12417.80563,609623010.3,0.688600899,0.356897095,1708119843,885306729.9,892385106.3,11470488.27,17797009.63,266417431.4,265549827.4,0,1708119843,0.007269868,0.607874675,0.383246894,0.522437059,0.010419064,0.15546323,233293,2172318189,0.786311992
24.8,2332A0,34000,0,2333.654518,14669.87869,1376348210,1741854166,2762785689,24230.64517,1622094534,0.789112779,0.486673504,3333024131,2055592783,2072028058,30941996.15,48007982.77,406045844.2,404723532.1,0,3333024131,0.007269868,0.828912597,0.522604727,0.621666084,0.014403731,0.121428323,2332A0,4403722663,0.756865131
24.9,2332B0,34000,0,2366.081869,14873.72434,1194482778,1511692163,2397721668,24567.34267,1407757115,0.663528711,0.416577748,3379338247,2121622008,2138585212,29573090.14,45884059.81,690023035.4,687775934.9,0,3379338247,0.007269868,0.709524023,0.447333783,0.632841419,0.013577824,0.203523851,2332B0,4444837224,0.760283915
25.1,233411,34000,0,4584.912742,28821.7957,2011148764,2545233704,4037040179,47605.75866,2370238428,0.703394365,0.361958737,6548366389,3369714838,3396657037,32358105.81,50205144.45,975109512.5,971934011.1,0,6548366389,0.007269868,0.61649577,0.388682238,0.518702961,0.00766682,0.14842389,233411,8698089073,0.752851153
25.2,233412,34000,0,833.4714621,5239.389614,349744271.3,442623103.4,702052330,8654.045019,412190946.1,0.648684501,0.346262785,1190399210,635425920,640506400.8,2690608.361,4174607.197,222352819,221628714,0,1190399210,0.007269868,0.589762093,0.37182745,0.538060169,0.003506897,0.186180159,233412,1527257577,0.779435787
25.3,2334A0,34000,0,2987.070569,18777.39938,89820146.02,113672974.9,180298715.3,31015.15092,105857490.8,0.068613316,0.024812711,4266260585,1542812635,1555148031,18480231.11,28672959.96,1429987538,1425330700,0,4266260585,0.007269868,0.042261534,0.026644639,0.364522513,0.006720865,0.33409368,2334A0,8063322917,0.529094596
36,321100,34000,0,15,93,4587228,5922621.958,6388452.094,99.39317241,5971503.736,0.801301453,0.189635413,31489391.37,7452256.221,6949310.135,124094.8238,279075.6254,1255671.353,583691.9187,0,31489391.37,0.003156402,0.202876328,0.188083088,0.220687344,0.008862528,0.018536145,321100,335266124.6,0.528834909
37,321200,34000,0,11,280,12913318,16672530.93,17983870.31,299.248261,16810136.03,0.802851611,0.210407344,79893295.05,20938036.13,19524946.86,1316327.169,2960275.187,2532984.657,1177443.979,0,79893295.05,0.003745599,0.225098618,0.208684983,0.244387803,0.037052861,0.014737707,321200,404447831.5,0.570670232
38,321910,34000,0,54,781,35716836,46114410.96,49741433.33,834.6888995,46495011.72,0.852542749,0.275039404,169048547.4,54536868.4,50856224.08,1208442.367,2717654.119,6290676.619,2924186.409,0,169048547.4,0.004937569,0.294243483,0.272787975,0.300837983,0.016076176,0.017297909,321910,572124619.9,0.718417415
39,3219A0,34000,0,66,991,33587682,43365436.15,46776244.26,1059.125095,43723348.51,0.774119449,0.257350134,169898293.4,56481397.78,52669518.92,463782.1345,1042995.068,11433237.84,5314677.693,0,169898293.4,0.006233877,0.275319094,0.255243506,0.310006168,0.006138938,0.031281525,3219A0,597397251.2,0.702832584
40,327100,34000,0,33,858,70123037,87994136.97,89557262.37,916.9821712,94834222.2,0.71557929,0.356135891,266286618.7,132527902.3,110840018,2264667.19,5400196.588,29234794.64,15976162.5,0,266286618.7,0.003443591,0.336319049,0.330448963,0.416243289,0.020279639,0.059996115,327100,236101463.5,0.902366945
41,327200,34000,0,95,4892,265078174,332634269,338543174.9,5228.294617,358491068.4,0.674669868,0.265208065,1351735167,531357758,444402291.4,9748429.617,23245550.86,134829026.5,73681052.46,0,1351735167,0.003867839,0.250450815,0.246079467,0.328764319,0.017196823,0.054508497,327200,746434293.4,0.912537632
42,327310,34000,1,4,170,11627177,14590403.51,14849587.04,181.6864442,15724565.48,0.28659595,0.143602629,109500540.8,54866670.28,45887866.75,1690372.719,4030766.653,31046217.27,16966064.52,0,109500540.8,0.001659229,0.135611997,0.133245036,0.419065207,0.036810473,0.154940463,327310,166347760.1,0.908820007
43,327320,34000,0,51,1090,72382764,90829763.26,92443260.65,1164.93073,97890271.42,0.739366053,0.207996548,470634115.1,132397573.6,110731017.3,3464590.111,8261464.544,25395671.96,13878167.67,0,470634115.1,0.002475236,0.196422779,0.192994431,0.235280473,0.017553901,0.029488231,327320,1331872915,0.904333969
44,327330,34000,1,24,543,31881000,40005983.78,40716648.96,580.3278776,43115785.73,0.519011867,0.238508625,180772438.1,83072832.14,69478155.55,3028837.006,7222392.472,30406158.17,16616286.51,0,180772438.1,0.003210267,0.225237041,0.221305771,0.384340424,0.039952952,0.091918252,327330,397371667.4,0.880372396
45,327390,34000,0,37,868,48385838,60717137.17,61795714.71,927.6696091,65436887.92,0.68971811,0.281843043,232174926.9,94874829.26,79348783.17,1657457.852,3952279.732,22979124.39,12557578.39,0,232174926.9,0.003995563,0.266160156,0.261514617,0.341762929,0.017022853,0.054086712,327390,511353955.7,0.883641955
46,327400,34000,0,9,114,8073391,10130922.79,10310888.22,121.836792,10918434.07,0.469259259,0.169000934,64605761.8,23267381.2,19459728.15,533340.6974,1271773.896,9794729.835,5352601.152,0,64605761.8,0.00188585,0.159597038,0.156811444,0.301207317,0.019685147,0.082850213,327400,299262559.6,0.801430479
47,327910,34000,0,11,146,7890413,9901312.207,10077198.84,156.0365932,10670975.07,0.2724,0.153240324,69635555.38,39173917.29,32763196.45,288316.1288,687502.2439,23563290.89,12876812.33,0,69635555.38,0.00224076,0.144713412,0.142187596,0.470495227,0.009872862,0.184917206,327910,71819687.89,0.815824681
48,327991,34000,0,48,544,29230929,36680532.96,37332124.93,581.3966214,39531836.25,0.761247444,0.348875351,113312207.6,51930336.94,43432057.56,1043612.835,2488539.815,9348106.459,5108531.45,0,113312207.6,0.005130927,0.329462515,0.323712103,0.383295485,0.021961798,0.045083681,327991,137285262.6,0.912654541
49,327992,34000,1,3,136,11395188,14299291.31,14553303.52,145.3491553,15410824.13,0.310918294,0.136378053,113000763.9,49565511.11,41454230,689405.1265,1643916.258,27845972.28,15217202.09,0,113000763.9,0.001286267,0.128789426,0.126541545,0.366849113,0.014547833,0.134664595,327992,73819262.15,0.95016854
